checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step10000,512,768,768,3,6574, miles,404,7,0.00018856360111385584,1.0001885813803473,0.0026305466890335083
step10000,768,1024,1024,0,21825, clones,2,0,0.0002956070238724351,1.0002956507199343,0.003713164711371064
step10000,768,1024,1024,1,23778, motive,8,2,-0.00046560080954805017,0.9995345075656884,0.0019062471110373735
step10000,768,1024,1024,2,19211, cabinet,33,5,-0.00040415124385617673,0.9995959304142567,0.0013496674364432693
step10000,768,1024,1024,3,6574, miles,404,7,0.0002875772479455918,1.0002876186022465,0.0026305466890335083
step13000,0,256,256,0,21825, clones,2,0,-0.037318021059036255,0.9633697147706027,-0.046505920588970184
step13000,0,256,256,1,23778, motive,8,2,-0.03348248451948166,0.967071849811204,-0.04554477334022522
step13000,0,256,256,2,19211, cabinet,33,5,-0.04788589105010033,0.9532425543786053,-0.04918741434812546
step13000,0,256,256,3,6574, miles,404,7,-0.032355885952711105,0.9681619655172614,-0.045263804495334625
step13000,256,512,512,0,21825, clones,2,0,-0.04957374930381775,0.9516349731316893,-0.046505920588970184
step13000,256,512,512,1,23778, motive,8,2,-0.04956477880477905,0.95164350981059,-0.04554477334022522
step13000,256,512,512,2,19211, cabinet,33,5,-0.04973123222589493,0.9514851186754382,-0.04918741434812546
step13000,256,512,512,3,6574, miles,404,7,-0.04956750199198723,0.951640918310686,-0.045263804495334625
step13000,512,768,768,0,21825, clones,2,0,-0.04956597834825516,0.9516423682735109,-0.046505920588970184
step13000,512,768,768,1,23778, motive,8,2,-0.04956592619419098,0.9516424179055294,-0.04554477334022522
step13000,512,768,768,2,19211, cabinet,33,5,-0.049566641449928284,0.9516417372380735,-0.04918741434812546
step13000,512,768,768,3,6574, miles,404,7,-0.049565888941287994,0.9516424533569727,-0.045263804495334625
step13000,768,1024,1024,0,21825, clones,2,0,-0.04956592246890068,0.9516424214506737,-0.046505920588970184
step13000,768,1024,1024,1,23778, motive,8,2,-0.04956591874361038,0.951642424995818,-0.04554477334022522
step13000,768,1024,1024,2,19211, cabinet,33,5,-0.049565911293029785,0.9516424320861065,-0.04918741434812546
step13000,768,1024,1024,3,6574, miles,404,7,-0.04956591874361038,0.951642424995818,-0.045263804495334625
step21000,0,256,256,0,21825, clones,2,0,0.024267982691526413,1.0245648467497626,0.015331948176026344
step21000,0,256,256,1,23778, motive,8,2,0.021542271599173546,1.0217759815292315,0.02002057060599327
step21000,0,256,256,2,19211, cabinet,33,5,0.029758812859654427,1.0302060315402144,0.024207815527915955
step21000,0,256,256,3,6574, miles,404,7,0.028973031789064407,1.0293968331098635,0.03083169460296631
step21000,256,512,512,0,21825, clones,2,0,0.02099630981683731,1.0212182831480616,0.015331948176026344
step21000,256,512,512,1,23778, motive,8,2,0.016595155000686646,1.0167336194714662,0.02002057060599327
step21000,256,512,512,2,19211, cabinet,33,5,0.02062825858592987,1.0208424916614254,0.024207815527915955
step21000,256,512,512,3,6574, miles,404,7,0.03489150106906891,1.0355073512638138,0.03083169460296631
step21000,512,768,768,0,21825, clones,2,0,0.011094683781266212,1.0111564580292425,0.015331948176026344
step21000,512,768,768,1,23778, motive,8,2,0.019356269389390945,1.0195448165300032,0.02002057060599327
step21000,512,768,768,2,19211, cabinet,33,5,0.023920413106679916,1.024208801050242,0.024207815527915955
step21000,512,768,768,3,6574, miles,404,7,0.030025314539670944,1.0304806197658696,0.03083169460296631
step21000,768,1024,1024,0,21825, clones,2,0,0.004968822002410889,1.0049811870699137,0.015331948176026344
step21000,768,1024,1024,1,23778, motive,8,2,0.022588592022657394,1.0228456461152944,0.02002057060599327
