checkpoint,window_start,window_end,window_transitions,window_states,full_dimensional_radius_rms,full_dimensional_radius_p95,full_dimensional_radius_max,projection_2d_radius_rms,projection_2d_radius_p95,projection_2d_radius_max
step61000,1792,1920,128,129,1.383420383240041e-05,1.6755539575869646e-05,2.0570109881494414e-05,1.01832636624795e-06,1.719930759695043e-06,2.4019363463332877e-06
step61000,1920,2048,128,129,1.366759258951465e-05,1.616972549321749e-05,1.8617270687436145e-05,1.034066995128023e-06,1.7174942477706861e-06,2.5933377280275754e-06
step69000,0,512,512,513,8.338505556325345,2.9791587299756954,102.66714049469647,0.3576815625920742,0.11157463719724602,5.026143114199179
step69000,512,640,128,129,1.0163176024986583e-05,1.3365057311899604e-05,1.8403835818876275e-05,7.566243727822072e-07,1.3116961283207062e-06,1.869747327800746e-06
step69000,640,768,128,129,1.0212831795733601e-05,1.2481477908150695e-05,1.797652890814275e-05,7.573333197164417e-07,1.3215977093300843e-06,2.2091266193830184e-06
step69000,768,896,128,129,1.0386273046785206e-05,1.3347280441948309e-05,1.8305177756395214e-05,7.997801577150495e-07,1.3494722850968429e-06,2.0925551316664964e-06
step69000,896,1024,128,129,1.0140448501829227e-05,1.3116446401274318e-05,1.9673652154992365e-05,7.794823693333739e-07,1.3341090150921367e-06,1.7927857145179529e-06
step69000,1024,1152,128,129,1.0294776186342574e-05,1.3674144686308278e-05,1.93248675340899e-05,7.807922039789468e-07,1.3549782700050971e-06,2.3149049252014084e-06
step69000,1152,1280,128,129,1.0115238419146224e-05,1.3106268092519721e-05,1.889319201968602e-05,7.482478043561102e-07,1.325344929366545e-06,1.947233299489335e-06
step69000,1280,1408,128,129,9.710476550609907e-06,1.130813249714717e-05,1.428602309776253e-05,7.606245728009988e-07,1.3155345403405285e-06,1.9496814393166568e-06
step69000,1408,1536,128,129,1.0272055437945212e-05,1.343539326832156e-05,1.8379104890489992e-05,7.470309417055373e-07,1.2975817425872155e-06,2.1100564566802995e-06
step69000,1536,1664,128,129,9.96718721434078e-06,1.2644869178098737e-05,1.8019489529639753e-05,7.609579818609875e-07,1.282117894230228e-06,2.4265621329420663e-06
step69000,1664,1792,128,129,1.0144940237260952e-05,1.2704932775310995e-05,1.8547746213928445e-05,7.909385613263628e-07,1.3302996473261846e-06,1.8032033170296604e-06
step69000,1792,1920,128,129,1.1276012287671006e-05,1.4903090450253064e-05,2.9591987881702638e-05,8.17062585448812e-07,1.3640848991037376e-06,2.3210127882717202e-06
step69000,1920,2048,128,129,1.0122565088337772e-05,1.2611168270718902e-05,1.920384131011695e-05,7.528901089042521e-07,1.307260846251802e-06,2.047770967838409e-06
step77000,0,512,512,513,11.377131613875092,1.099040928291111,168.95800900177525,0.5494520769435101,0.05633653984639811,8.092281503186603
step77000,512,640,128,129,7.648560200515855e-06,9.224920741301035e-06,1.2397244718678536e-05,7.315408551247302e-07,1.2839543111301488e-06,2.177706166321942e-06
step77000,640,768,128,129,7.596678241684861e-06,9.33569774065911e-06,1.0820725095890834e-05,6.637799731615623e-07,1.178360808335676e-06,1.7861132873213198e-06
step77000,768,896,128,129,7.577137931937351e-06,9.334096611618991e-06,1.1218399415378936e-05,6.715100777873133e-07,1.2597397962577315e-06,1.7419697077346653e-06
step77000,896,1024,128,129,7.456887576942324e-06,9.061570538068895e-06,1.0454551013322354e-05,6.498442803739856e-07,1.1798552371520514e-06,1.7163329839262533e-06
step77000,1024,1152,128,129,7.56818958207446e-06,8.99898173890136e-06,9.900676789984696e-06,6.836420498171749e-07,1.2386096815463263e-06,1.688286240250618e-06
step77000,1152,1280,128,129,7.66120096478376e-06,9.303545144180271e-06,1.2534243816597517e-05,6.802332289392996e-07,1.2542101429306736e-06,2.116866745352101e-06
step77000,1280,1408,128,129,7.60520108691928e-06,9.162437246098454e-06,1.0258583139644104e-05,6.743788204408228e-07,1.258449024137211e-06,2.252121545079223e-06
step77000,1408,1536,128,129,7.559629141287049e-06,9.276451241138706e-06,1.0323678422423803e-05,6.607395155342067e-07,1.1956486185168208e-06,1.6707795535128725e-06
step77000,1536,1664,128,129,7.46812778453957e-06,9.0873143249694e-06,9.899798725781488e-06,6.989267471258622e-07,1.2502511979884813e-06,1.7987637129881913e-06
step77000,1664,1792,128,129,7.625273257939979e-06,9.211054488716838e-06,1.0483401066082468e-05,6.765594952949932e-07,1.1890415625163633e-06,1.6215902014969576e-06
step77000,1792,1920,128,129,7.766048615714568e-06,9.331611576589707e-06,1.0964155758109232e-05,6.939927831596857e-07,1.2325774674603812e-06,2.1166938264128865e-06
step77000,1920,2048,128,129,7.649768029871908e-06,9.47481601335938e-06,1.1539076363414259e-05,7.032951718671829e-07,1.2272065919934665e-06,1.7996100555756828e-06
